colony_id,host_genus,timepoint,site,host.afdw.mg.cm2,sym.afdw.mg.cm2,am,aqy,rd,ik,ic,calc.umol.cm2.hr,cells.mg.afdw,chla.ug.mg.afdw,chlc2.ug.mg.afdw,prot.mg.mgafdw,cre.umol.mg.afdw,chla.ug.cell,chlc2.ug.cell,ratio.afdw.mg.cm2,total.chl.afdw,total.chl.cell,A1/A1ee,A1/A1ee-A1ep-A1eq,A1/A1gb-A1ee,C1/C42.2/C42g/C42a-C1b-C1au-C1az-C3-C42h,C116-C116af-C116ag-C116q,C15-C15bn-C15by,C15-C15bn-C15by-C15ai,C15-C15bn-C15dq,C15-C15by-C15ai,C15-C15he,C15-C15kl,C15-C15kl-C15he,C15-C15kl-C15he-C15vz,C15-C15kl-C15pm,C15-C15l-C15bm-C15n,C15-C15l-C15n,C15-C15l-C15n-C15bb-C15.8,C15-C15wa-C15kl-C15he-C15vz,C15/C116,C15/C116-C15h,C15/C116ai-C116aj,C15/C15ev,C15/C93a,C15h/C3,C1d,C1d-C42.2-C1-C1k-C1b-C3cg,C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p,C1d/C42.2,C1d/C42.2/C1/C3cg-C1b-C3cw-C115k-C45c,C1d/C42g-C42.2-C1-C42a-C1b,C3/C115d,C3ae/C3f-C3bj,C42a/C42.2/C1/C42b-C1b-C1az-C1au-C3,C42g/C1/C42.2/C42a-C42h-C1b-C42b-C1ew-C42br,C91,D1,D1-D17d-D1r-D17c,D1-D1u-D1jb,D1/D4-D6-D2.2-D1h,G3a/G3ae-G3ai-G3bi-G3bj
ACR-139,Acropora,timepoint1,Manava,1.759101774,0.7954199325326086,1.0423651179029103,0.002247138,0.4110558336311509,463.8634853083508,199.05551128906936,0.00696294,357004.83091787924,1.5852971014492971,1.4448478260869768,0.33056412811620234,0.025381402,4.44054803788904e-6,4.047138024357242e-6,0.31137724550898105,3.030144927536274,8.487686062246281e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-139,Acropora,timepoint2,Manava,1.211578181202209,0.5452101815409783,0.7502140888749902,0.001797326,0.312681104,417.4056621752372,191.3856415,0,432916.66666666634,1.1185416666666663,0.27212499999999973,0.2441992048238799,NA,2.5837343599615024e-6,6.285851780558228e-7,0.31034482758620074,1.390666666666666,3.2123195380173253e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-139,Acropora,timepoint3,Manava,0.6641778277075385,0.4933892434399354,0.5297573921372227,0.001605656,0.3435224426005774,329.93197282570657,281.0426360840474,0.2980466257197296,398214.2857143121,1.2999761904762772,0.9955,0.582041747,0.16866812754451904,3.2645142002989553e-6,2.4999103139013456e-6,0.42622950819674593,2.295476190476343,5.764424514200301e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-139,Acropora,timepoint4,Manava,1.1328360830594757,0.5380971394532409,0.4480059104101681,0.00108938,0.13975777588152666,411.24863296430215,135.02955740282724,0,190625.00000000407,0.5704531250000122,0.11290625000000232,0.1845620171161621,0.068611659,2.992540983606557e-6,5.922950819672126e-7,0.32203389830508067,0.6833593750000145,3.5848360655737698e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-140,Acropora,timepoint1,Manava,1.0640613880491057,0.6548070080302021,0.7395432278699144,0.002678071,0.4153999723956789,276.14777901634744,187.4818412567151,0.007449826,379487.17948716943,1.271195512820479,0.8285961538461322,0.3676094744243211,0.060140611,3.3497719594594596e-6,2.183462837837839e-6,0.38095238095237494,2.099791666666611,5.533234797297298e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-140,Acropora,timepoint2,Manava,1.3197486873448787,0.7038659665839174,1.2605777646473673,0.002167449,0.493482135,581.5950873767647,247.4259234849689,0,492013.8888888793,1.495840277777749,0.3744895833333261,0.3118328228927478,0.03946183369466802,3.040239943542697e-6,7.611362032462951e-7,0.34782608695651596,1.8703298611110752,3.801376146788992e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-140,Acropora,timepoint3,Manava,0.2707926249029988,0.17601520618698016,0.4865895016517144,0.001478839,0.1913280216683512,329.03483315772223,140.7111886002119,0.07827219,1009722.2222222656,4.869770833333542,4.9510625000002095,1.1873906441147528,0.2763273290300321,4.822881705639613e-6,4.903390646492431e-6,0.3939393939394359,9.820833333333752,9.726272352132044e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-145,Acropora,timepoint1,Manava,1.1008130773277551,0.3124888735640246,0.7092018813140527,0.002476605,0.20588949401340323,286.36049304343754,86.87528595754542,0,622222.2222222263,1.626801075268828,1.1023387096774266,0.28067088302434245,0.032201564,2.614501728110599e-6,1.7716157834101383e-6,0.22110552763820016,2.729139784946254,4.386117511520737e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-145,Acropora,timepoint2,Manava,1.1518671498015645,0.7818734592592631,1.3689889349487905,0.003914251,0.4722325561188872,349.7448051824473,128.53368,0,823232.3232323366,2.415959595959634,0.5634848484848577,0.26846924433825997,NA,2.934723926380367e-6,6.84478527607362e-7,0.4043321299639049,2.979444444444492,3.6192024539877297e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-145,Acropora,timepoint3,Manava,1.6196291734632895,0.8834340946163193,0.6830137585642984,0.002012472,0.3102688857105412,339.39050167448346,173.05958066347978,0.6019141051201962,352020.20202021033,2.0545681818182304,2.158386363636415,0.3504146727941102,0.077358522,5.836506456241033e-6,6.131427546628408e-6,0.35294117647058293,4.212954545454645,1.196793400286944e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
